KNN,Random Forest,Rede Neural,XGBoost,Naive Bayes
0.5087742504409171,0.5364638447971781,0.47433862433862434,0.5432980599647266,0.5342592592592592
0.5119929453262787,0.5287918871252204,0.474647266313933,0.5357583774250441,0.531657848324515
0.5157407407407407,0.5343033509700177,0.4910934744268078,0.5402557319223986,0.5353615520282187
0.5091710758377425,0.5349206349206349,0.4743827160493827,0.5388007054673721,0.53505291005291
0.5139997354380704,0.5349442215265223,0.49411349706777197,0.5372811852374443,0.5319017593368315
0.5154320987654321,0.5320546737213404,0.5256172839506172,0.5424603174603174,0.5370811287477955
0.513668430335097,0.5334215167548501,0.5257054673721341,0.5419753086419753,0.5354497354497354
0.5119488536155202,0.5367724867724868,0.49074074074074076,0.544047619047619,0.5285714285714286
0.5055555555555555,0.5317019400352734,0.475352733686067,0.5406966490299824,0.533068783068783
0.5109572732483796,0.5356497200052912,0.49614180519423257,0.5444243573349795,0.534635565942061
0.5132275132275133,0.5406966490299824,0.474647266313933,0.5381393298059964,0.5363756613756614
0.5103615520282186,0.5333333333333333,0.47451499118165785,0.5388447971781305,0.5312610229276896
0.5123456790123457,0.5391093474426808,0.5257495590828924,0.5449294532627866,0.5321428571428571
0.5083774250440917,0.5378747795414462,0.5257054673721341,0.5417989417989418,0.5351410934744268
0.5113541161426871,0.5357820009700605,0.5256845539926804,0.5445566382997487,0.5332686626394462
